ABH;АБХАЗИЯ;РЕСПУБЛИКА АБХАЗИЯ
AUS;АВСТРАЛИЯ;АВСТРАЛИЯ
AUT;АВСТРИЯ;АВСТРИЙСКАЯ РЕСПУБЛИКА
AZE;АЗЕРБАЙДЖАН;РЕСПУБЛИКА АЗЕРБАЙДЖАН
ALB;АЛБАНИЯ;РЕСПУБЛИКА АЛБАНИЯ
DZA;АЛЖИР;АЛЖИРСКАЯ НАРОДНАЯ ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА
ASM;АМЕРИКАНСКОЕ САМОА;АМЕРИКАНСКОЕ САМОА
AIA;АНГИЛЬЯ;АНГИЛЬЯ
AGO;АНГОЛА;РЕСПУБЛИКА АНГОЛА
AND;АНДОРРА;КНЯЖЕСТВО АНДОРРА
ATA;АНТАРКТИДА;АНТАРКТИДА
ATG;АНТИГУА И БАРБУДА;АНТИГУА И БАРБУДА
ARG;АРГЕНТИНА;АРГЕНТИНСКАЯ РЕСПУБЛИКА
ARM;АРМЕНИЯ;РЕСПУБЛИКА АРМЕНИЯ
ABW;АРУБА;АРУБА
AFG;АФГАНИСТАН;ПЕРЕХОДНОЕ ИСЛАМСКОЕ ГОСУДАРСТВО АФГАНИСТАН
BHS;БАГАМЫ;СОДРУЖЕСТВО БАГАМЫ
BGD;БАНГЛАДЕШ;НАРОДНАЯ РЕСПУБЛИКА БАНГЛАДЕШ
BRB;БАРБАДОС;БАРБАДОС
BHR;БАХРЕЙН;КОРОЛЕВСТВО БАХРЕЙН
BLR;БЕЛАРУСЬ;РЕСПУБЛИКА БЕЛАРУСЬ
BLZ;БЕЛИЗ;БЕЛИЗ
BEL;БЕЛЬГИЯ;КОРОЛЕВСТВО БЕЛЬГИИ
BEN;БЕНИН;РЕСПУБЛИКА БЕНИН
BMU;БЕРМУДЫ;БЕРМУДЫ
BGR;БОЛГАРИЯ;РЕСПУБЛИКА БОЛГАРИЯ
BOL;БОЛИВИЯ;МНОГОНАЦИОНАЛЬНОЕ ГОСУДАРСТВО БОЛИВИЯ
BIH;БОСНИЯ И ГЕРЦЕГОВИНА;БОСНИЯ И ГЕРЦЕГОВИНА
BWA;БОТСВАНА;РЕСПУБЛИКА БОТСВАНА
BRA;БРАЗИЛИЯ;ФЕДЕРАТИВНАЯ РЕСПУБЛИКА БРАЗИЛИЯ
IOT;БРИТАНСКАЯ ТЕРРИТОРИЯ В ИНДИЙСКОМ ОКЕАНЕ;БРИТАНСКАЯ ТЕРРИТОРИЯ В ИНДИЙСКОМ ОКЕАНЕ
BRN;БРУНЕЙ-ДАРУССАЛАМ;БРУНЕЙ-ДАРУССАЛАМ
BFA;БУРКИНА-ФАСО;БУРКИНА-ФАСО
BDI;БУРУНДИ;РЕСПУБЛИКА БУРУНДИ
BTN;БУТАН;КОРОЛЕВСТВО БУТАН
VUT;ВАНУАТУ;РЕСПУБЛИКА ВАНУАТУ
VAT;ВАТИКАН;ПАПСКИЙ ПРЕСТОЛ (ГОСУДАРСТВО - ГОРОД ВАТИКАН)
GBR;ВЕЛИКОБРИТАНИЯ;СОЕДИНЕННОЕ КОРОЛЕВСТВО ВЕЛИКОБРИТАНИИ И СЕВЕРНОЙ ИРЛАНДИИ
HUN;ВЕНГРИЯ;ВЕНГЕРСКАЯ РЕСПУБЛИКА
VEN;ВЕНЕСУЭЛА;БОЛИВАРИАНСКАЯ РЕСПУБЛИКА ВЕНЕСУЭЛА
VGB;ВИРГИНСКИЕ ОСТРОВА, БРИТАНСКИЕ;БРИТАНСКИЕ ВИРГИНСКИЕ ОСТРОВА
VIR;ВИРГИНСКИЕ ОСТРОВА, США;ВИРГИНСКИЕ ОСТРОВА СОЕДИНЕННЫХ ШТАТОВ
VNM;ВЬЕТНАМ;СОЦИАЛИСТИЧЕСКАЯ РЕСПУБЛИКА ВЬЕТНАМ
GAB;ГАБОН;ГАБОНСКАЯ РЕСПУБЛИКА
GUY;ГАЙАНА;РЕСПУБЛИКА ГАЙАНА
HTI;ГАИТИ;РЕСПУБЛИКА ГАИТИ
GMB;ГАМБИЯ;РЕСПУБЛИКА ГАМБИЯ
GHA;ГАНА;РЕСПУБЛИКА ГАНА
GLP;ГВАДЕЛУПА;ГВАДЕЛУПА
GTM;ГВАТЕМАЛА;РЕСПУБЛИКА ГВАТЕМАЛА
GIN;ГВИНЕЯ;ГВИНЕЙСКАЯ РЕСПУБЛИКА
GNB;ГВИНЕЯ-БИСАУ;РЕСПУБЛИКА ГВИНЕЯ-БИСАУ
DEU;ГЕРМАНИЯ;ФЕДЕРАТИВНАЯ РЕСПУБЛИКА ГЕРМАНИЯ
GGY;ГЕРНСИ;ГЕРНСИ
GIB;ГИБРАЛТАР;ГИБРАЛТАР
HND;ГОНДУРАС;РЕСПУБЛИКА ГОНДУРАС
HKG;ГОНКОНГ;СПЕЦИАЛЬНЫЙ АДМИНИСТРАТИВНЫЙ РЕГИОН КИТАЯ ГОНКОНГ
GRD;ГРЕНАДА;ГРЕНАДА
GRL;ГРЕНЛАНДИЯ;ГРЕНЛАНДИЯ
GRC;ГРЕЦИЯ;ГРЕЧЕСКАЯ РЕСПУБЛИКА
GEO;ГРУЗИЯ;ГРУЗИЯ
GUM;ГУАМ;ГУАМ
DNK;ДАНИЯ;КОРОЛЕВСТВО ДАНИЯ
JEY;ДЖЕРСИ;ДЖЕРСИ
DJI;ДЖИБУТИ;РЕСПУБЛИКА ДЖИБУТИ
DMA;ДОМИНИКА;СОДРУЖЕСТВО ДОМИНИКИ
DOM;ДОМИНИКАНСКАЯ РЕСПУБЛИКА;ДОМИНИКАНСКАЯ РЕСПУБЛИКА
EGY;ЕГИПЕТ;АРАБСКАЯ РЕСПУБЛИКА ЕГИПЕТ
ZMB;ЗАМБИЯ;РЕСПУБЛИКА ЗАМБИЯ
ESH;ЗАПАДНАЯ САХАРА;ЗАПАДНАЯ САХАРА
ZWE;ЗИМБАБВЕ;РЕСПУБЛИКА ЗИМБАБВЕ
YEM;ЙЕМЕН;ЙЕМЕНСКАЯ РЕСПУБЛИКА
ISR;ИЗРАИЛЬ;ГОСУДАРСТВО ИЗРАИЛЬ
IND;ИНДИЯ;РЕСПУБЛИКА ИНДИЯ
IDN;ИНДОНЕЗИЯ;РЕСПУБЛИКА ИНДОНЕЗИЯ
JOR;ИОРДАНИЯ;ИОРДАНСКОЕ ХАШИМИТСКОЕ КОРОЛЕВСТВО
IRQ;ИРАК;РЕСПУБЛИКА ИРАК
IRN;ИРАН;ИСЛАМСКАЯ РЕСПУБЛИКА ИРАН
IRL;ИРЛАНДИЯ;ИРЛАНДИЯ
ISL;ИСЛАНДИЯ;РЕСПУБЛИКА ИСЛАНДИЯ
ESP;ИСПАНИЯ;КОРОЛЕВСТВО ИСПАНИЯ
ITA;ИТАЛИЯ;ИТАЛЬЯНСКАЯ РЕСПУБЛИКА
CPV;КАБО-ВЕРДЕ;РЕСПУБЛИКА КАБО-ВЕРДЕ
KAZ;КАЗАХСТАН;РЕСПУБЛИКА КАЗАХСТАН
KHM;КАМБОДЖА;КОРОЛЕВСТВО КАМБОДЖА
CMR;КАМЕРУН;РЕСПУБЛИКА КАМЕРУН
CAN;КАНАДА;КАНАДА
QAT;КАТАР;ГОСУДАРСТВО КАТАР
KEN;КЕНИЯ;РЕСПУБЛИКА КЕНИЯ
CYP;КИПР;РЕСПУБЛИКА КИПР
KGZ;КИРГИЗИЯ;КИРГИЗСКАЯ РЕСПУБЛИКА
KIR;КИРИБАТИ;РЕСПУБЛИКА КИРИБАТИ
CHN;КИТАЙ;КИТАЙСКАЯ НАРОДНАЯ РЕСПУБЛИКА
PRK;КНДР;КОРЕЙСКАЯ НАРОДНО-ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА
CCK;КОКОСОВЫЕ (КИЛИНГ) ОСТРОВА;КОКОСОВЫЕ (КИЛИНГ) ОСТРОВА
COL;КОЛУМБИЯ;РЕСПУБЛИКА КОЛУМБИЯ
COM;КОМОРЫ;СОЮЗ КОМОРЫ
COG;КОНГО;РЕСПУБЛИКА КОНГО
COD;КОНГО, ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА;КОНГО, ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА
KOR;КОРЕЯ, РЕСПУБЛИКА;РЕСПУБЛИКА КОРЕЯ
CRI;КОСТА-РИКА;РЕСПУБЛИКА КОСТА-РИКА
CIV;КОТ Д'ИВУАР;РЕСПУБЛИКА КОТ Д'ИВУАР
CUB;КУБА;РЕСПУБЛИКА КУБА
KWT;КУВЕЙТ;ГОСУДАРСТВО КУВЕЙТ
LAO;ЛАОС;ЛАОССКАЯ НАРОДНО-ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА
LVA;ЛАТВИЯ;ЛАТВИЙСКАЯ РЕСПУБЛИКА
LSO;ЛЕСОТО;КОРОЛЕВСТВО ЛЕСОТО
LBR;ЛИБЕРИЯ;РЕСПУБЛИКА ЛИБЕРИЯ
LBN;ЛИВАН;ЛИВАНСКАЯ РЕСПУБЛИКА
LBY;ЛИВИЯ;СОЦИАЛИСТИЧЕСКАЯ НАРОДНАЯ ЛИВИЙСКАЯ АРАБСКАЯ ДЖАМАХИРИЯ
LTU;ЛИТВА;ЛИТОВСКАЯ РЕСПУБЛИКА
LIE;ЛИХТЕНШТЕЙН;КНЯЖЕСТВО ЛИХТЕНШТЕЙН
LUX;ЛЮКСЕМБУРГ;ВЕЛИКОЕ ГЕРЦОГСТВО ЛЮКСЕМБУРГ
MUS;МАВРИКИЙ;РЕСПУБЛИКА МАВРИКИЙ
MRT;МАВРИТАНИЯ;ИСЛАМСКАЯ РЕСПУБЛИКА МАВРИТАНИЯ
MDG;МАДАГАСКАР;РЕСПУБЛИКА МАДАГАСКАР
MYT;МАЙОТТА;МАЙОТТА
MAC;МАКАО;СПЕЦИАЛЬНЫЙ АДМИНИСТРАТИВНЫЙ РЕГИОН КИТАЯ МАКАО
MKD;МАКЕДОНИЯ;РЕСПУБЛИКА МАКЕДОНИЯ
MWI;МАЛАВИ;РЕСПУБЛИКА МАЛАВИ
MYS;МАЛАЙЗИЯ;МАЛАЙЗИЯ
MLI;МАЛИ;РЕСПУБЛИКА МАЛИ
